PACK	num_SNPs	diff_SNPs
0	0	
1	57446	57446.0
2	93038	35592.0
3	126430	33392.0
4	156178	29748.0
5	185788	29610.0
6	210625	24837.0
7	233411	22786.0
8	254368	20957.0
9	278811	24443.0
10	298939	20128.0
11	319030	20091.0
12	339524	20494.0
13	359449	19925.0
14	378219	18770.0
15	396377	18158.0
16	414155	17778.0
17	430966	16811.0
18	448660	17694.0
19	465640	16980.0
20	482363	16723.0
21	499258	16895.0
22	526412	27154.0
23	544752	18340.0
24	560300	15548.0
25	576636	16336.0
26	592810	16174.0
27	608064	15254.0
28	623136	15072.0
29	638785	15649.0
30	657139	18354.0
31	671645	14506.0
32	685762	14117.0
33	700545	14783.0
34	713447	12902.0
35	726761	13314.0
36	739602	12841.0
37	753899	14297.0
38	767539	13640.0
39	779789	12250.0
40	794122	14333.0
41	808149	14027.0
42	819451	11302.0
43	832077	12626.0
44	845731	13654.0
45	858378	12647.0
46	871116	12738.0
47	883869	12753.0
48	895293	11424.0
49	906548	11255.0
50	918982	12434.0
51	930038	11056.0
52	942771	12733.0
53	954508	11737.0
54	965815	11307.0
55	977558	11743.0
56	989602	12044.0
57	1001904	12302.0
58	1012806	10902.0
59	1024368	11562.0
60	1035530	11162.0
61	1046875	11345.0
62	1055996	9121.0
63	1065945	9949.0
64	1077677	11732.0
65	1088137	10460.0
66	1098791	10654.0
67	1109678	10887.0
68	1119545	9867.0
69	1130172	10627.0
70	1139854	9682.0
71	1149858	10004.0
72	1159408	9550.0
73	1168276	8868.0
74	1178474	10198.0
75	1188408	9934.0
76	1197565	9157.0
77	1207016	9451.0
78	1215443	8427.0
79	1224370	8927.0
80	1234576	10206.0
81	1243137	8561.0
82	1252758	9621.0
83	1262823	10065.0
84	1273016	10193.0
85	1282492	9476.0
86	1292025	9533.0
87	1301898	9873.0
88	1310934	9036.0
89	1319509	8575.0
90	1329479	9970.0
91	1337516	8037.0
92	1346315	8799.0
93	1355980	9665.0
94	1363880	7900.0
95	1374218	10338.0
96	1382706	8488.0
97	1391510	8804.0
98	1400083	8573.0
99	1407537	7454.0
100	1416998	9461.0
101	1424964	7966.0
102	1433153	8189.0
103	1441104	7951.0
104	1449932	8828.0
105	1457284	7352.0
106	1465421	8137.0
107	1473709	8288.0
108	1481191	7482.0
109	1488867	7676.0
110	1496253	7386.0
111	1503932	7679.0
112	1511796	7864.0
113	1519400	7604.0
114	1527382	7982.0
115	1535454	8072.0
116	1543002	7548.0
117	1550014	7012.0
118	1557221	7207.0
119	1565327	8106.0
120	1572933	7606.0
121	1580248	7315.0
122	1586887	6639.0
123	1594006	7119.0
124	1601255	7249.0
125	1608288	7033.0
126	1615247	6959.0
127	1620941	5694.0
128	1628800	7859.0
129	1635906	7106.0
130	1643734	7828.0
131	1651476	7742.0
132	1659120	7644.0
133	1665084	5964.0
134	1672151	7067.0
135	1679112	6961.0
136	1686254	7142.0
137	1692254	6000.0
138	1698300	6046.0
139	1705187	6887.0
140	1711148	5961.0
141	1717888	6740.0
142	1724674	6786.0
143	1731552	6878.0
144	1737729	6177.0
145	1744150	6421.0
146	1751729	7579.0
147	1757728	5999.0
148	1763625	5897.0
149	1770239	6614.0
150	1776587	6348.0
151	1783161	6574.0
152	1789184	6023.0
153	1795892	6708.0
154	1802660	6768.0
155	1808886	6226.0
156	1814664	5778.0
157	1821925	7261.0
158	1826707	4782.0
159	1832861	6154.0
160	1838897	6036.0
161	1845716	6819.0
162	1851993	6277.0
163	1858223	6230.0
164	1864128	5905.0
165	1870596	6468.0
166	1877109	6513.0
167	1883167	6058.0
168	1889191	6024.0
169	1895285	6094.0
170	1900704	5419.0
171	1906982	6278.0
172	1912831	5849.0
173	1918697	5866.0
174	1925042	6345.0
175	1930823	5781.0
176	1936529	5706.0
177	1942005	5476.0
178	1947780	5775.0
179	1953840	6060.0
180	1958889	5049.0
181	1964387	5498.0
182	1969770	5383.0
183	1976113	6343.0
184	1981566	5453.0
185	1987389	5823.0
186	2013364	25975.0
187	2018857	5493.0
188	2024343	5486.0
189	2031026	6683.0
190	2036636	5610.0
191	2041775	5139.0
192	2047132	5357.0
193	2052153	5021.0
194	2057399	5246.0
195	2063309	5910.0
196	2068615	5306.0
197	2074049	5434.0
198	2078958	4909.0
199	2084566	5608.0
200	2090007	5441.0
201	2094811	4804.0
202	2099097	4286.0
203	2104153	5056.0
204	2109127	4974.0
205	2115080	5953.0
206	2119967	4887.0
207	2124934	4967.0
208	2130390	5456.0
209	2135323	4933.0
210	2141148	5825.0
211	2145961	4813.0
212	2150896	4935.0
213	2155635	4739.0
214	2161125	5490.0
215	2165299	4174.0
216	2170729	5430.0
217	2175803	5074.0
218	2181040	5237.0
219	2185692	4652.0
220	2191037	5345.0
221	2196212	5175.0
222	2201904	5692.0
